time,open,high,low,close,volume,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_net_vol,foreign_net_val
2025-09-10,23.7,23.95,23.1,23.4,14526100,313700.0,619495.0,7417240000.0,14675561750.0,-305795.0,-7258321750.0
2025-09-11,23.15,23.55,22.4,23.4,23889000,513100.0,2655604.0,11714495000.0,60772140800.0,-2142504.0,-49057645800.0
2025-09-12,23.55,24.35,23.45,23.65,20296900,480300.0,297400.0,11419180000.0,7127650000.0,182900.0,4291530000.0
2025-09-15,24.0,24.4,23.6,23.85,16363000,272800.0,336926.0,6546585000.0,8101270200.0,-64126.0,-1554685200.0
2025-09-16,24.1,24.45,23.4,23.6,21816000,366250.0,1261892.0,8783220000.0,30434416400.0,-895642.0,-21651196400.0
2025-09-17,23.5,23.85,23.3,23.3,10724500,349500.0,327800.0,8258925000.0,7709810000.0,21700.0,549115000.0
2025-09-18,23.25,23.8,22.9,23.45,15231100,585850.0,530000.0,13660890000.0,12344515000.0,55850.0,1316375000.0
2025-09-19,23.7,24.1,23.4,23.5,18542100,1186200.0,4782629.0,28067825000.0,112640601450.0,-3596429.0,-84572776450.0
2025-09-22,23.65,24.5,23.5,24.0,30854300,1038700.0,4280732.0,24943210000.0,102698035300.0,-3242032.0,-77754825300.0
2025-09-23,24.15,24.35,23.5,23.65,9660700,43732.0,1015100.0,1042944800.0,24251865000.0,-971368.0,-23208920200.0
2025-09-24,23.5,25.0,23.3,24.95,28030100,2644248.0,887864.0,64151927000.0,21490299200.0,1756384.0,42661627800.0
2025-09-25,25.05,25.55,24.75,24.8,29514100,,,,,,
